subset,method_a,method_b,metric,num_mashups,mean_a,mean_b,mean_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm,significance,ci_excludes_zero
deduplicated_cosine_lt_099,Inductive BPR-MF,Graph+BGE,NDCG@5,1545,0.632475786454209,0.535334026262432,0.097141760191777,0.08432807099123787,0.11034950517033741,105131.5,5.8784041723350275e-49,0.5470090441781604,0.455663430420712,0.3766990291262136,7.054085006802033e-48,***,True
deduplicated_cosine_lt_099,Inductive BPR-MF,Graph+BGE,MAP@5,1545,0.5819287426585161,0.4761570178592832,0.10577172479923289,0.09236038445403331,0.11890089296416155,97381.0,2.947526153366093e-54,0.5777792230315644,0.4524271844660194,0.3786407766990291,4.12653661471253e-53,***,True
deduplicated_cosine_lt_099,Inductive BPR-MF,Graph+BGE,Recall@10,1545,0.6835980844757089,0.644986067996575,0.038612016479133884,0.025491220914479053,0.05169456118423836,47579.0,1.3723220241959737e-09,0.30554785223242303,0.21488673139158576,0.6614886731391586,9.606254169371816e-09,***,True
deduplicated_cosine_lt_099,Inductive BPR-MF,Graph+BGE,NDCG@10,1545,0.6479919207222558,0.5601895564401166,0.08780236428213925,0.0755819244020241,0.09994120318171598,123149.0,9.70899886788718e-48,0.5251363581152599,0.47637540453074434,0.34110032362459547,1.0679898754675897e-46,***,True
deduplicated_cosine_lt_099,Inductive BPR-MF,Graph+BGE,MAP@10,1545,0.5890142543832827,0.48757639342444403,0.10143786095883876,0.08869042726253873,0.11428689891834315,113923.5,9.429154962514971e-54,0.5589796297586695,0.47443365695792883,0.3423948220064725,1.2257901451269463e-52,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Inductive BPR-MF,Recall@5,1545,0.652699246618758,0.6359224120425707,0.016776834576187328,0.010053386952254268,0.023951263153123993,11717.5,1.0456445816023972e-05,0.3145857096896844,0.1022653721682848,0.8310679611650486,4.182578326409589e-05,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Inductive BPR-MF,NDCG@5,1545,0.6430009777400205,0.632475786454209,0.010525191285811468,0.005149946253054065,0.016141792332946745,50013.0,0.001559949419714845,0.16509327657443346,0.17411003236245956,0.683495145631068,0.00311989883942969,**,True
deduplicated_cosine_lt_099,Inductive LightGCN,Inductive BPR-MF,MAP@5,1545,0.590886012225818,0.5819287426585161,0.00895726956730193,0.00309279935275081,0.014868048064245472,50988.0,0.005406289564945354,0.14532837171879714,0.17346278317152103,0.6841423948220064,0.005406289564945354,**,True
deduplicated_cosine_lt_099,Inductive LightGCN,Inductive BPR-MF,Recall@10,1545,0.7065893426547861,0.6835980844757089,0.02299125817907712,0.015258926652373868,0.03090999739968762,16472.5,7.783060751747303e-09,0.37038948132859384,0.1313915857605178,0.7909385113268609,4.669836451048382e-08,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Inductive BPR-MF,NDCG@10,1545,0.6608511248738229,0.6479919207222558,0.012859204151566992,0.007713037774360795,0.01818526694726378,71921.5,7.815407149982573e-06,0.210113889712585,0.22006472491909385,0.6097087378640776,3.907703574991286e-05,***,True
deduplicated_cosine_lt_099,Inductive LightGCN,Inductive BPR-MF,MAP@10,1545,0.5988052002534203,0.5890142543832827,0.00979094587013758,0.004361855569817925,0.015489164631952107,75521.5,0.00028447931316893477,0.17057647743621845,0.2168284789644013,0.6097087378640776,0.0008534379395068042,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Graph+BGE,Recall@5,1521,0.6485669533372658,0.5744217491238638,0.07414520421340189,0.05992719252454793,0.08776403215286832,40697.5,1.4484469915086916e-26,0.5118828446864524,0.2774490466798159,0.6206443129520053,1.4484469915086915e-25,***,True
