subset,method,num_mashups,num_seeds,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,HitRate@5_mean,HitRate@5_std,MAP@5_mean,MAP@5_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,HitRate@10_mean,HitRate@10_std,MAP@10_mean,MAP@10_std
full,Inductive LightGCN,1645,3,0.6681998311667887,0.000434500297890947,0.6601341360263601,0.0003720559650788756,0.8247213779128674,0.0010332359703328622,0.6098074974670719,0.00047391446354138,0.7199206220611144,0.003708332705233785,0.6768596744546572,0.0011563029982570906,0.8565349544072949,0.0017896171968242842,0.6170662045748165,0.0007581972979320075
full,Graph-only,1645,3,0.3920582599117403,0.0,0.3599313060895051,0.00035383501197028554,0.5458966565349544,0.0,0.31036643026004723,0.00039801563292828204,0.48132385066450106,0.003987680178618327,0.38988052505672255,0.0011503036781280174,0.6474164133738601,0.0024817525256162114,0.3217668120308275,0.0004384373586087471
full,Graph+BGE,1645,3,0.57219438670619,0.008372407704658275,0.5346694408829059,0.02955724289912201,0.7436676798378926,0.008069830902427542,0.4742731059326804,0.035101770380426625,0.6419604277362535,0.004146749033264046,0.5591070931361808,0.02662684972526508,0.7991894630192503,0.0017431256873440023,0.48554154155189044,0.03361508762480558
strict_clean_cosine_lt_095,Popularity,879,1,0.4187023337143795,0.0,0.42388411093278944,0.0,0.5494880546075085,0.0,0.39107729743395275,0.0,0.5132196090286836,0.0,0.45465722062119046,0.0,0.6530147895335608,0.0,0.4021601727953643,0.0
strict_clean_cosine_lt_095,TF-IDF,879,1,0.1704741019537245,0.0,0.13605068837857104,0.0,0.22070534698521047,0.0,0.11383327013019845,0.0,0.22417857800813026,0.0,0.1550915909931544,0.0,0.29465301478953354,0.0,0.12137005585953253,0.0
strict_clean_cosine_lt_095,BM25,879,1,0.1897714144250984,0.0,0.154926997377771,0.0,0.2525597269624573,0.0,0.13071767159651115,0.0,0.25160470816965497,0.0,0.17552580754242617,0.0,0.3333333333333333,0.0,0.13839595710613914,0.0
strict_clean_cosine_lt_095,Category-Jaccard,879,1,0.09414478722850535,0.0,0.07479680485555887,0.0,0.1353811149032992,0.0,0.06129598028062192,0.0,0.12418489200761834,0.0,0.08518817333695894,0.0,0.18543799772468714,0.0,0.06475076897147432,0.0
strict_clean_cosine_lt_095,BGE,879,1,0.14554966994236215,0.0,0.1200551776638539,0.0,0.1956769055745165,0.0,0.10099734546833523,0.0,0.1875438532334738,0.0,0.1351512131431018,0.0,0.25597269624573377,0.0,0.1069390646537973,0.0
strict_clean_cosine_lt_095,Inductive BPR-MF,879,3,0.6259584524942886,0.003299105093769529,0.6222522882816142,0.001953963247155478,0.7796738718240425,0.0029859718900310107,0.5765126616946868,0.0014800008411972616,0.6769776343974966,0.0034252048671054498,0.6380735438519136,0.0017137113324633532,0.8156996587030717,0.0018577851670710465,0.5828342629520803,0.0016599014054767267
strict_clean_cosine_lt_095,Inductive LightGCN,879,3,0.6447624290343289,0.0012369349628451396,0.635550269866111,0.001043007256831485,0.7967387182404247,0.001418906858844895,0.5885794042051152,0.0009768626833000398,0.6962247446303526,0.0015373112367401901,0.651492382461222,0.0013776244736533095,0.8331437239287068,0.0014189068588448556,0.5945252573915422,0.0012833619864521112
strict_clean_cosine_lt_095,Graph-only,879,3,0.41870233371437954,5.551115123125783e-17,0.42366213859463,0.00016336613563802102,0.5494880546075085,0.0,0.39079383137403617,0.00020191843708878448,0.5090524198785592,0.002725589800878176,0.4520939915621514,0.000957708710139887,0.6575654152445961,0.0009288925835355232,0.40002504800428573,0.0005464378409046017
strict_clean_cosine_lt_095,Graph+BGE,879,3,0.5628327637127745,0.021113622149290627,0.505693318574172,0.053047125963456496,0.7125521425862722,0.025478311766766504,0.4490709139173303,0.06068339671773662,0.6363496234322038,0.004439948528718486,0.5313491592890365,0.04620334801928801,0.783086841107319,0.004389775086382357,0.4600274367531532,0.057298455275919466
