method,seed,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,0,607,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,613,Head,2,1.0,0.9197207891481876,0.8333333333333333,1.0,0.9197207891481876,0.8333333333333333
Graph+BGE,0,613,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,623,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,624,Head,11,0.2727272727272727,0.5296347172140421,0.3833333333333333,0.45454545454545453,0.47938213678331176,0.2972222222222222
Graph+BGE,0,624,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,624,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,624,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,626,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,629,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,629,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,630,Head,3,0.6666666666666666,0.6713860725233041,0.5,0.6666666666666666,0.6713860725233041,0.5
Graph+BGE,0,632,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,650,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,656,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,659,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,659,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,666,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,675,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,678,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,678,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,679,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,692,Head,9,0.3333333333333333,0.6548086577531307,0.4833333333333333,0.5555555555555556,0.6062940640905979,0.40145502645502645
Graph+BGE,0,692,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,693,Head,2,0.5,0.38685280723454163,0.25,0.5,0.38685280723454163,0.25
Graph+BGE,0,697,Head,1,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333
Graph+BGE,0,698,Head,5,0.4,0.5531464700081437,0.4,0.4,0.5531464700081437,0.4
Graph+BGE,0,699,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,700,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,704,Head,9,0.3333333333333333,0.6164336326286644,0.42000000000000004,0.3333333333333333,0.4272021882457644,0.23333333333333334
Graph+BGE,0,706,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,716,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,718,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,729,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,731,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,737,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,747,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,752,Head,2,0.5,0.6131471927654584,0.5,1.0,0.8315546295836225,0.6666666666666666
Graph+BGE,0,754,Head,4,0.5,0.6366824387328317,0.5,0.5,0.6366824387328317,0.5
Graph+BGE,0,757,Head,4,0.75,0.787702056960637,0.65,0.75,0.787702056960637,0.65
Graph+BGE,0,759,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,0,762,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,770,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,770,Middle,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,771,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
