subset,method_a,method_b,group,metric,num_mashups,mean_a,mean_b,mean_difference,relative_improvement_percent,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm_subset_global,p_holm_comparison,significance_global,ci_excludes_zero
full,SCF-LightGCN+BGE,Graph+BGE,Middle,MAP@5,237,0.24768479449914046,0.03333333333333333,0.2143514611658071,643.0543834974213,0.17409319815596183,0.2549314150648539,70.0,2.456365908390112e-19,0.9778761061946902,0.45147679324894513,0.5274261603375527,9.334190451882426e-18,3.438912271746157e-18,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Middle,Recall@10,237,0.5260196905766525,0.09563994374120956,0.43037974683544306,450.0000000000001,0.37341772151898733,0.48945147679324896,8.5,7.45840120246162e-24,0.9978752655918011,0.5274261603375527,0.46835443037974683,3.13252850503388e-22,1.3425122164430914e-22,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Middle,NDCG@10,237,0.32987929837001445,0.051503117578202216,0.2783761807918122,540.5035537297844,0.2384613827762212,0.3197234287890733,54.0,4.617528262780154e-24,0.9889003083247687,0.5611814345991561,0.41350210970464135,1.9855371529954663e-22,8.773303699282293e-23,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Middle,MAP@10,237,0.2628217392598546,0.037856082423592965,0.22496565683626163,594.2655510916173,0.18695804124900467,0.2639918927994701,142.5,3.028430771632941e-23,0.9707091469681398,0.5611814345991561,0.41350210970464135,1.2416566163695057e-21,5.148332311776e-22,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Tail,Recall@5,110,0.3181818181818182,0.012121212121212121,0.3060606060606061,2525.0000000000005,0.22878787878787876,0.38636363636363635,0.0,8.321758356284697e-09,1.0,0.37272727272727274,0.6272727272727273,1.5811340876940924e-07,4.1608791781423484e-08,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Tail,NDCG@5,110,0.22131235753673567,0.005297593707216145,0.21601476382951953,4077.601563428201,0.1583415748706195,0.2774862757256534,0.0,2.306039495502046e-08,1.0,0.37272727272727274,0.6272727272727273,4.1242419828304555e-07,9.164982184067679e-08,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Tail,MAP@5,110,0.18237373737373735,0.003131313131313131,0.17924242424242426,5724.1935483870975,0.12567992424242427,0.23873800505050505,0.0,2.2912455460169197e-08,1.0,0.37272727272727274,0.6272727272727273,4.1242419828304555e-07,9.164982184067679e-08,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Tail,Recall@10,110,0.4106060606060606,0.012121212121212121,0.39848484848484844,3287.5,0.3121212121212121,0.4893939393939393,0.0,1.0080655274165298e-10,1.0,0.43636363636363634,0.5636363636363636,2.8225834767662836e-09,1.1088720801581829e-09,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Tail,NDCG@10,110,0.2527683160944375,0.005297593707216145,0.24747072238722143,4671.379801175162,0.18667835339379116,0.3107370077726846,0.0,1.573503738927305e-09,1.0,0.43636363636363634,0.5636363636363636,3.6163851321720935e-08,1.2578730894511628e-08,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Tail,MAP@10,110,0.19786796536796536,0.003131313131313131,0.19473665223665226,6219.009216589863,0.14017896224146226,0.2540169552669551,0.0,1.5723413618139536e-09,1.0,0.43636363636363634,0.5636363636363636,3.6163851321720935e-08,1.2578730894511628e-08,***,True
