method,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,372,Head,6,0.1111111111111111,0.08747005167489452,0.02666666666666667,0.2222222222222222,0.14022600752961747,0.041512345679012345
Graph+BGE,377,Head,2,1.0,0.9590717717793499,0.9166666666666666,1.0,0.9590717717793499,0.9166666666666666
Graph+BGE,378,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,384,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,384,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,392,Head,3,1.0,0.9823008098419915,0.9555555555555556,1.0,0.9823008098419915,0.9555555555555556
Graph+BGE,394,Head,4,0.5,0.6106241545762942,0.4583333333333333,0.6666666666666666,0.7033282742501447,0.5416666666666666
Graph+BGE,399,Head,7,0.19047619047619047,0.2768066324543973,0.1433333333333333,0.42857142857142855,0.3731296392527857,0.19104308390022676
Graph+BGE,399,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,401,Head,3,0.3333333333333333,0.41154645433712606,0.27777777777777773,0.3333333333333333,0.41154645433712606,0.27777777777777773
Graph+BGE,407,Head,2,1.0,0.9590717717793499,0.9166666666666666,1.0,0.9590717717793499,0.9166666666666666
Graph+BGE,427,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,439,Head,1,1.0,0.8102255193577976,0.75,1.0,0.8102255193577976,0.75
Graph+BGE,451,Head,3,0.6666666666666666,0.5999434315288771,0.4444444444444444,0.7777777777777778,0.6556635831842778,0.5
Graph+BGE,453,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,456,Head,4,0.4166666666666667,0.4487365477412854,0.2833333333333333,0.4166666666666667,0.4487365477412854,0.2833333333333333
Graph+BGE,459,Head,4,0.5833333333333334,0.6129381402351054,0.4875,0.75,0.6897252222702263,0.5310185185185184
Graph+BGE,465,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,480,Head,1,1.0,0.7956176024115139,0.7333333333333334,1.0,0.7956176024115139,0.7333333333333334
Graph+BGE,483,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,487,Head,5,0.3333333333333333,0.4315846810586322,0.26,0.5333333333333333,0.5452039600001756,0.33738095238095234
Graph+BGE,488,Head,3,0.6666666666666666,0.5707543555048654,0.41481481481481475,0.8888888888888888,0.6671903316191191,0.49351851851851847
Graph+BGE,492,Head,8,0.4583333333333333,0.8201054725400895,0.7333333333333334,0.4583333333333333,0.6116274596882193,0.4583333333333333
Graph+BGE,492,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,494,Head,5,0.20000000000000004,0.22811718250682847,0.11333333333333334,0.3333333333333333,0.29646132190636876,0.14333333333333334
Graph+BGE,499,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,502,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7718216255952429,0.7083333333333334
Graph+BGE,507,Head,2,1.0,0.8211640327667377,0.7055555555555554,1.0,0.8211640327667377,0.7055555555555554
Graph+BGE,510,Head,2,0.8333333333333334,0.7420981285103055,0.6388888888888888,1.0,0.8011778907716548,0.6722222222222222
Graph+BGE,514,Head,2,0.5,0.5109559939712153,0.3888888888888889,0.5,0.5109559939712153,0.3888888888888889
Graph+BGE,514,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,526,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,540,Head,1,1.0,0.8102255193577976,0.75,1.0,0.8102255193577976,0.75
Graph+BGE,542,Head,2,0.8333333333333334,0.8175295903539445,0.7222222222222222,1.0,0.8766093526152937,0.7555555555555555
Graph+BGE,546,Head,1,1.0,0.7956176024115139,0.7333333333333334,1.0,0.7956176024115139,0.7333333333333334
Graph+BGE,552,Head,2,1.0,0.9590717717793499,0.9166666666666666,1.0,0.9590717717793499,0.9166666666666666
Graph+BGE,554,Head,3,0.7777777777777778,0.8014048976670317,0.7222222222222222,0.8888888888888888,0.8466222221445143,0.7444444444444445
Graph+BGE,561,Head,1,1.0,0.6872021038816168,0.5833333333333334,1.0,0.6872021038816168,0.5833333333333334
Graph+BGE,563,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,564,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7854023957026741,0.7222222222222222
Graph+BGE,566,Head,3,0.5555555555555555,0.6257049680303419,0.4814814814814814,0.6666666666666666,0.677847048699537,0.5132275132275131
Graph+BGE,574,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
